encoding,brand,name
602,Hyundai,i20 Magna 1.4 CRDi (Diesel)
1095,Mercedes-Benz,New C-Class C 220 CDI BE Avantgare
1436,Volkswagen,Ameo 1.5 TDI Highline
920,Maruti,Omni LPG CARGO BSIII W IMMOBILISER
536,Hyundai,Verna i (Petrol)
672,Mahindra,Renault Logan 1.5 DLS
73,Chevrolet,Optra Magnum 2.0 LS BSIII
691,Mahindra,Scorpio S11 BSIV
585,Hyundai,i20 Active 1.2 SX
937,Maruti,SX4 Celebration Diesel
448,Hyundai,Grand i10 Magna
816,Maruti,Alto LXi BSIII
551,Hyundai,i10 Era
1413,Toyota,Innova 2.5 V Diesel 7-seater
360,Honda,Mobilio V i DTEC
1399,Toyota,Innova 2.5 G (Diesel) 7 Seater BS IV
1222,Tata,Indica V2 2001-2011 DLS BSIII
1238,Tata,Indica Vista TDI LS
51,Chevrolet,Beat Diesel LS
1341,Tata,Zest Quadrajet 1.3 75PS XE
1168,Skoda,Fabia 1.2L Diesel Ambiente
1417,Toyota,Innova 2.5 VX (Diesel) 8 Seater
429,Hyundai,Grand i10 1.2 CRDi Asta
109,Datsun,GO Plus T Option Petrol
922,Maruti,Omni MPI STD BSIV
820,Maruti,Baleno Alpha 1.2
206,Ford,Fiesta Classic 1.4 SXI Duratorq
410,Hyundai,Elite i20 Asta Option BSIV
446,Hyundai,Grand i10 CRDi Magna
474,Hyundai,Santro Xing GL Plus
1311,Tata,Sumo GX TC 7 Str BSIII
1016,Maruti,Vitara Brezza LDi Option
351,Honda,Jazz S
581,Hyundai,i20 1.4 Sportz
882,Maruti,Ertiga SHVS ZDI Plus
1316,Tata,Sumo SE Plus BSIII
885,Maruti,Ertiga VXI
579,Hyundai,i20 1.4 Magna ABS
424,Hyundai,Getz GL
1031,Maruti,Wagon R LX BS IV
573,Hyundai,i20 1.2 Spotz
799,Maruti,Alto 800 VXI
592,Hyundai,i20 Asta (o)
506,Hyundai,Verna 1.6 SX CRDi (O)
760,Mahindra,Xylo D2 BSIV
643,Mahindra,Bolero SLX 2WD BSIII
886,Maruti,Ertiga VXI ABS
286,Honda,Brio 1.2 E MT
1376,Toyota,Etios Liva G
793,Maruti,Alto 800 LXI
958,Maruti,Swift Dzire 1.2 Vxi BSIV
704,Mahindra,Scorpio VLS AT 2.2 mHAWK
641,Mahindra,Bolero SLX
748,Mahindra,XUV500 W11 Option AWD
1326,Tata,Tiago 1.2 Revotron XZ
665,Mahindra,Marazzo M8 8Str
1132,Renault,Duster 110PS Diesel RxL
1045,Maruti,Wagon R VXI
86,Chevrolet,Spark 1.0 LT
819,Maruti,Baleno Alpha
392,Hyundai,EON 1.0 Kappa Magna Plus
222,Ford,Figo Aspire 1.2 Ti-VCT Trend
228,Ford,Figo Aspire Facelift
500,Hyundai,Verna 1.4 VTVT
76,Chevrolet,Sail 1.2 LT ABS
328,Honda,City i-DTEC SV
634,Mahindra,Bolero Power Plus Plus AC BSIV PS
439,Hyundai,Grand i10 1.2 Kappa Sportz Option
828,Maruti,Baleno Sigma 1.2
788,Maruti,A-Star Vxi
101,Datsun,GO A
1200,Skoda,Yeti Ambition 4WD
1074,Maruti,Zen LXi BSII
519,Hyundai,Verna CRDi 1.6 EX
148,Ford,Aspire Titanium Diesel BSIV
27,BMW,3 Series 320d Sport
35,BMW,X1 sDrive 20d Exclusive
1425,Toyota,Innova Crysta 2.4 VX MT
94,Chevrolet,Tavera Neo 3 10 Seats BSIV
1099,Mitsubishi,Outlander 2.4
821,Maruti,Baleno Alpha 1.3
224,Ford,Figo Aspire 1.5 TDCi Titanium
190,Ford,Endeavour Titanium 4X2
683,Mahindra,Scorpio 2.6 Turbo 9 Str
829,Maruti,Baleno Vxi
1218,Tata,Indica DLX
1220,Tata,Indica LSI
1377,Toyota,Etios Liva GD
1284,Tata,Nano STD
453,Hyundai,Grand i10 Sportz
697,Mahindra,Scorpio S7 140 BSIV
1464,Volkswagen,Polo Petrol Comfortline 1.2L
537,Hyundai,Xcent 1.1 CRDi Base
54,Chevrolet,Beat Diesel PS
1014,Maruti,Swift ZXi BSIV
928,Maruti,Ritz VDi
1245,Tata,Indigo CS Emax CNG GLX
869,Maruti,Eeco 5 STR With AC Plus HTR CNG
899,Maruti,Estilo LXI
1003,Maruti,Swift VXI with ABS
1342,Tata,Zest Quadrajet 1.3 XM
808,Maruti,Alto K10 VXI AGS Optional
701,Mahindra,Scorpio SLE BSIV
478,Hyundai,Santro Xing GLS CNG
230,Ford,Figo Diesel Celebration Edition
1156,Renault,KWID RXT Optional
1146,Renault,KWID 1.0 RXT Optional
1182,Skoda,Rapid 1.5 TDI AT Style BSIV
84,Chevrolet,Spark 1.0
203,Ford,Fiesta 1.6 ZXi Duratec
1267,Tata,Manza Aura Quadrajet BS IV
996,Maruti,Swift VVT VXI
608,Hyundai,i20 Sportz Petrol
1069,Maruti,Zen Estilo VXI BSIV
1401,Toyota,Innova 2.5 G (Diesel) 8 Seater BS IV
1327,Tata,Tiago 1.2 Revotron XZA
1019,Maruti,Vitara Brezza ZDi
999,Maruti,Swift VXI BSIII
1000,Maruti,Swift VXI BSIV
584,Hyundai,i20 Active 1.2 S
460,Hyundai,Santro GLS I - Euro I
1308,Tata,Safari Storme VX
689,Mahindra,Scorpio REV 116
102,Datsun,GO Plus A
1391,Toyota,Fortuner 4x4 MT
170,Ford,Ecosport 1.5 DV5 MT Titanium
746,Mahindra,XUV500 W11 AT BSIV
713,Mahindra,Supro VX 8 Str
184,Ford,Endeavour 2.5L 4X2 MT
652,Mahindra,KUV 100 D75 K2
982,Maruti,Swift Glam
1294,Tata,New Safari DICOR 2.2 EX 4x2
289,Honda,Brio 1.2 VX MT
81,Chevrolet,Sail Hatchback LS ABS
1330,Tata,Tiago NRG Petrol
1020,Maruti,Vitara Brezza ZDi Plus
459,Hyundai,Santro Era
329,Honda,City i-DTEC V
501,Hyundai,Verna 1.6 CRDI
394,Hyundai,EON D Lite Plus
188,Ford,Endeavour 4x4 XLT
1446,Volkswagen,Jetta 2.0 TDI Trendline
1456,Volkswagen,Polo 1.5 TDI Highline
594,Hyundai,i20 Asta 1.2
1136,Renault,Duster 85PS Diesel RxE
919,Maruti,Omni E MPI STD BS IV
293,Honda,Brio S Option AT
257,Honda,Accord 2.4 MT
212,Ford,Figo 1.2P Ambiente MT
1281,Tata,Nano Lx
1259,Tata,Indigo LS Dicor
1240,Tata,Indica Vista Terra 1.4 TDI
1076,Maruti,Zen VXI
55,Chevrolet,Beat LS
992,Maruti,Swift VDI
1024,Maruti,Wagon R AMT VXI
718,Mahindra,TUV 300 T4 Plus
776,Maruti,800 AC BSII
468,Hyundai,Santro Magna BSIV
1343,Tata,Zest Revotron 1.2 XT
747,Mahindra,XUV500 W11 Option AT AWD
1461,Volkswagen,Polo Diesel Trendline 1.2L
516,Hyundai,Verna CRDi
1236,Tata,Indica Vista Quadrajet LX
1137,Renault,Duster 85PS Diesel RxL
552,Hyundai,i10 Era 1.1
978,Maruti,Swift Dzire ZDI
234,Ford,Figo Diesel ZXI
1036,Maruti,Wagon R LXI BSIII
990,Maruti,Swift Ldi BSIV
1479,Volkswagen,Vento Diesel Highline
108,Datsun,GO Plus T Option BSIV
809,Maruti,Alto K10 VXI Airbag
399,Hyundai,EON LPG Magna Plus
631,Mahindra,Bolero DI DX 7 Seater
877,Maruti,Ertiga BSIV ZXI
282,Honda,BR-V i-VTEC S MT
1382,Toyota,Etios VD
477,Hyundai,Santro Xing GLS Audio LPG
213,Ford,Figo 1.2P Titanium MT
122,Fiat,Avventura Urban Cross 1.3 Multijet Emotion
160,Ford,EcoSport 1.5 TDCi Titanium BSIV
989,Maruti,Swift Ldi BSIII
205,Ford,Fiesta Classic 1.4 Duratorq CLXI
240,Ford,Figo Titanium Diesel BSIV
251,Ford,Ikon 1.3L Rocam Flair
142,Fiat,Punto 1.3 Emotion
362,Honda,WR-V i-DTEC V
1176,Skoda,Laura L n K 1.9 PD
924,Maruti,Ritz LDi
758,Mahindra,Xylo D2
318,Honda,City i DTEC S
676,Mahindra,Scorpio 1.99 S4
1255,Tata,Indigo Grand Dicor
263,Honda,Amaze EX i-Dtech
382,Hyundai,Creta 1.6 CRDi SX Plus
1371,Toyota,Etios GD SP
939,Maruti,SX4 S Cross DDiS 320 Delta
1387,Toyota,Fortuner 2.8 4WD AT BSIV
857,Maruti,Ciaz VDi Option SHVS
708,Mahindra,Scorpio VLX 2WD AIRBAG SE BSIV
494,Hyundai,Tucson 2.0 e-VGT 2WD MT
612,Jaguar,XF 5.0 Litre V8 Petrol
389,Hyundai,Creta 1.6 VTVT AT SX Plus
533,Hyundai,Verna VTVT 1.6 AT SX Option
1089,Mercedes-Benz,GL-Class 350 CDI Blue Efficiency
1012,Maruti,Swift ZXI BSIV
935,Maruti,S-Cross Zeta DDiS 200 SH
513,Hyundai,Verna 1.6 VTVT SX
1463,Volkswagen,Polo GTI
1160,Renault,Pulse RxL
838,Maruti,Celerio VXI AMT BSIV
294,Honda,Brio V MT
387,Hyundai,Creta 1.6 SX Automatic Diesel
326,Honda,City i VTEC V
1423,Toyota,Innova Crysta 2.4 GX AT
26,BMW,3 Series 320d Luxury Line
1079,Mercedes-Benz,C-Class Progressive C 220d
6,Audi,A4 3.0 TDI Quattro
39,BMW,X5 xDrive 30d xLine
943,Maruti,SX4 Vxi BSIV
434,Hyundai,Grand i10 1.2 Kappa Magna AT
449,Hyundai,Grand i10 Magna AT
58,Chevrolet,Beat LT Option
1389,Toyota,Fortuner 4x2 AT
554,Hyundai,i10 Magna
462,Hyundai,Santro GS
1173,Skoda,Laura Ambiente 2.0 TDI CR MT
605,Hyundai,i20 Sportz 1.2
901,Maruti,Gypsy E MG410W ST
1305,Tata,Nexon 1.5 Revotorq XZ
732,Mahindra,Verito 1.5 D4 BSIV
90,Chevrolet,Tavera LS B3 7 Seats BSII
72,Chevrolet,Optra Magnum 2.0 LS
871,Maruti,Eeco 5 Seater Standard BSIV
338,Honda,Civic 1.8 MT Sport
1213,Tata,Hexa XT 4X4
1237,Tata,Indica Vista Quadrajet VX
679,Mahindra,Scorpio 2.6 CRDe SLE
1065,Maruti,Zen Estilo LXI BSIII
962,Maruti,Swift Dzire AMT ZXI Plus BS IV
264,Honda,Amaze S AT i-Vtech
998,Maruti,Swift VXI
670,Mahindra,Renault Logan 1.4 GLX Petrol
560,Hyundai,i10 Magna LPG
1336,Tata,Venture EX
61,Chevrolet,Captiva LT
47,Chevrolet,Aveo U-VA 1.2 LS
868,Maruti,Ciaz Zeta BSIV
1211,Tata,Hexa XM
473,Hyundai,Santro Xing GL PLUS CNG
726,Mahindra,Thar CRDe ABS
801,Maruti,Alto K10 2010-2014 VXI
803,Maruti,Alto K10 LXI
304,Honda,City 1.5 V AT
925,Maruti,Ritz LXI
355,Honda,Jazz VX
700,Mahindra,Scorpio SLE BSIII
1187,Skoda,Rapid 1.6 MPI AT Elegance Plus
1279,Tata,Nano LX
1061,Maruti,Zen Estilo 1.1 VXI BSIII
1033,Maruti,Wagon R LX Minor
1178,Skoda,Octavia Classic 1.9 TDI MT
955,Maruti,Swift AMT VXI
272,Honda,Amaze SX i-VTEC
451,Hyundai,Grand i10 Nios Magna CRDi
1442,Volkswagen,Jetta 1.9 L TDI
540,Hyundai,Xcent 1.1 CRDi SX Option
475,Hyundai,Santro Xing GL Plus LPG
366,Hyundai,Accent Executive
839,Maruti,Celerio VXI AT
379,Hyundai,Creta 1.6 CRDi AT SX Plus
887,Maruti,Ertiga VXI CNG
507,Hyundai,Verna 1.6 SX VTVT
438,Hyundai,Grand i10 1.2 Kappa Sportz Dual Tone
1381,Toyota,Etios V
1486,Volkswagen,Vento Petrol Highline AT
1460,Volkswagen,Polo Diesel Highline 1.2L
658,Mahindra,KUV 100 mFALCON D75 K8
10,Audi,A4 New 2.0 TDI Multitronic
1465,Volkswagen,Polo Petrol Highline 1.2L
1188,Skoda,Rapid 1.6 MPI Active
889,Maruti,Ertiga ZDI
1042,Maruti,Wagon R Stingray LXI
1196,Skoda,Superb 1.8 TSI
1257,Tata,Indigo LS
619,Land Rover,Discovery Sport TD4 HSE 7S
1312,Tata,Sumo GX TC 8 Str
599,Hyundai,i20 Magna
521,Hyundai,Verna CRDi 1.6 SX Option
1332,Tata,Tiago XZA AMT
1427,Toyota,Innova Crysta 2.4 VX MT BSIV
440,Hyundai,Grand i10 AT Asta
860,Maruti,Ciaz VXi
756,Mahindra,XUV500 W8 4WD
1158,Renault,Lodgy 85PS RxL
696,Mahindra,Scorpio S6 Plus 7 Seater
984,Maruti,Swift LDI BSIV
582,Hyundai,i20 2015-2017 Magna 1.2
1035,Maruti,Wagon R LXI BS IV
627,Mahindra,Bolero 2011-2019 SLX 2WD BSIII
1431,Toyota,Innova Crysta 2.8 ZX AT BSIV
855,Maruti,Ciaz VDI SHVS
1219,Tata,Indica GLS BS IV
322,Honda,City i DTec SV
986,Maruti,Swift LXI
1072,Maruti,Zen LXI
364,Honda,WR-V i-VTEC VX
1386,Toyota,Fortuner 2.8 2WD AT BSIV
1428,Toyota,Innova Crysta 2.4 ZX MT
1457,Volkswagen,Polo 1.5 TDI Trendline
734,Mahindra,Verito Vibe 1.5 dCi D4
1483,Volkswagen,Vento Magnific 1.6 Highline
963,Maruti,Swift Dzire LDI
1296,Tata,New Safari DICOR 2.2 GX 4x2
944,Maruti,SX4 ZDI
508,Hyundai,Verna 1.6 SX VTVT (O)
123,Fiat,Grande Punto 1.3 Dynamic (Diesel)
1043,Maruti,Wagon R Stingray VXI
1375,Toyota,Etios Liva 1.4 VD
546,Hyundai,Xcent 1.2 Kappa SX
277,Honda,Amaze VX O iDTEC
849,Maruti,Ciaz 1.4 AT Zeta
694,Mahindra,Scorpio S4 4WD
953,Maruti,Swift 1.3 VXI ABS
168,Ford,Ecosport 1.0 Ecoboost Titanium Optional
1149,Renault,KWID Climber 1.0 AMT BSIV
1153,Renault,KWID RXL BSIV
391,Hyundai,EON 1.0 Era Plus
1400,Toyota,Innova 2.5 G (Diesel) 8 Seater
1405,Toyota,Innova 2.5 G4 Diesel 8-seater
655,Mahindra,KUV 100 G80 K2
574,Hyundai,i20 1.4 Asta Option
1152,Renault,KWID RXL
847,Maruti,Celerio ZXI Optional AMT BSIV
139,Fiat,Palio D 1.9 EL PS
132,Fiat,Linea Classic 1.3 Multijet
790,Maruti,Alto 800 CNG LXI
976,Maruti,Swift Dzire VXi
437,Hyundai,Grand i10 1.2 Kappa Sportz BSIV
287,Honda,Brio 1.2 S MT
1344,Tata,Zest Revotron 1.2T XE
374,Hyundai,Creta 1.4 CRDi Base
1091,Mercedes-Benz,M-Class ML 350 CDI
1424,Toyota,Innova Crysta 2.4 GX MT 8S BSIV
1295,Tata,New Safari DICOR 2.2 EX 4x4
664,Mahindra,Marazzo M4
1368,Toyota,Etios Cross 1.2L G
659,Mahindra,KUV 100 mFALCON D75 K8 AW
974,Maruti,Swift Dzire VXI
596,Hyundai,i20 Asta 1.4 CRDi (Diesel)
1392,Toyota,Innova 2.0 GX 8 STR BS
